id,age,Дата первого занятия,Курс,М2
2538,11,28.02.2021,Unity,0
2615,12,14.02.2021,Unity,0
2643,14,21.02.2021,Веб-дизайн,1
2968,11,24.01.2021,Python Базовый,0
3014,15,14.03.2021,Веб-дизайн,1
3121,15,10.01.2021,Unity,0
4230,12,28.03.2021,Unity,0
4848,15,21.02.2021,Веб-дизайн,1
4893,14,28.03.2021,Веб-дизайн,0
4957,14,21.03.2021,Веб-дизайн,0
5867,14,10.01.2021,Unity,0
5910,11,14.03.2021,Веб-дизайн,1
6528,12,28.03.2021,Веб-дизайн,0
6552,,21.03.2021,Веб-дизайн,0
6583,11,10.01.2021,Веб-дизайн,0
6822,10,21.02.2021,Python Базовый,1
7130,11,21.03.2021,Python Базовый,0
7270,13,28.03.2021,Веб-дизайн,0
7463,,31.01.2021,Веб-дизайн,1
7623,12,10.01.2021,Веб-дизайн,0
7784,13,31.01.2021,Веб-дизайн,0
8347,11,28.03.2021,Python Базовый,0
8585,14,10.01.2021,Веб-дизайн,0
8625,13,07.02.2021,Python Базовый,1
8784,13,10.01.2021,Python Базовый,0
8809,14,10.01.2021,Python Базовый,0
8821,12,28.02.2021,Веб-дизайн,0
8929,14,10.01.2021,Unity,1
9023,,31.01.2021,Python Базовый,0
9068,13,10.01.2021,Python Базовый,0
9132,12,14.02.2021,Python Базовый,0
9166,13,24.01.2021,Веб-дизайн,1
9216,12,10.01.2021,Python Базовый,0
9422,12,10.01.2021,Unity,1
9425,14,10.01.2021,Веб-дизайн,1
9482,10,10.01.2021,Python Базовый,0
9541,14,31.01.2021,Веб-дизайн,1
9618,14,14.02.2021,Веб-дизайн,0
9723,,17.01.2021,Python Базовый,0
9785,,10.01.2021,Python Базовый,0
9795,10,10.01.2021,Python Базовый,0
9831,12,10.01.2021,Python Базовый,0
9859,12,10.01.2021,Python Базовый,0
9957,15,10.01.2021,Unity,0
9960,,10.01.2021,Python Базовый,0
9969,13,10.01.2021,Python Базовый,0
9987,,17.01.2021,Python Базовый,1
9998,12,10.01.2021,Веб-дизайн,0
10000,13,10.01.2021,Python Базовый,1
10019,13,10.01.2021,Веб-дизайн,0
10025,14,10.01.2021,Веб-дизайн,1
10034,12,17.01.2021,Python Базовый,0
10035,11,10.01.2021,Python Базовый,0
10041,15,10.01.2021,Веб-дизайн,0
10047,15,10.01.2021,Веб-дизайн,1
10052,11,10.01.2021,Python Базовый,1
10053,12,10.01.2021,Python Базовый,1
10056,,10.01.2021,Python Базовый,0
10070,12,17.01.2021,Python Базовый,1
10072,13,10.01.2021,Python Базовый,0
10078,11,10.01.2021,Python Базовый,0
10082,11,10.01.2021,Python Базовый,1
10098,13,10.01.2021,Python Базовый,0
10100,15,10.01.2021,Python Базовый,0
10101,14,10.01.2021,Python Базовый,1
10110,13,24.01.2021,Python Базовый,0
10111,12,10.01.2021,Python Базовый,0
10119,12,17.01.2021,Python Базовый,0
10132,14,17.01.2021,Python Базовый,0
10137,,17.01.2021,Python Базовый,1
10153,15,31.01.2021,Python Базовый,0
10159,12,21.02.2021,Unity,0
10160,13,17.01.2021,Python Базовый,1
10178,15,10.01.2021,Python Базовый,0
10184,14,17.01.2021,Python Базовый,1
10186,15,17.01.2021,Python Базовый,0
10187,14,10.01.2021,Веб-дизайн,0
10191,14,10.01.2021,Unity,0
10194,12,10.01.2021,Python Базовый,0
10195,14,10.01.2021,Веб-дизайн,0
10201,12,10.01.2021,Python Базовый,0
10212,13,28.02.2021,Веб-дизайн,0
10223,14,10.01.2021,Python Базовый,0
10230,15,10.01.2021,Python Базовый,1
10242,13,10.01.2021,Веб-дизайн,0
10254,16,17.01.2021,Веб-дизайн,1
10266,14,10.01.2021,Python Базовый,0
10269,13,28.03.2021,Веб-дизайн,0
10276,13,10.01.2021,Python Базовый,1
10281,13,10.01.2021,Python Базовый,0
10282,12,10.01.2021,Python Базовый,1
10291,13,17.01.2021,Python Базовый,0
10303,13,17.01.2021,Python Базовый,0
10318,13,17.01.2021,Python Базовый,0
10320,14,17.01.2021,Python Базовый,1
10325,14,07.02.2021,Unity,0
10328,16,10.01.2021,Unity,1
10329,13,10.01.2021,Веб-дизайн,1
10333,12,17.01.2021,Python Базовый,0
10340,14,17.01.2021,Python Базовый,1
10354,11,10.01.2021,Python Базовый,1
10355,12,10.01.2021,Python Базовый,0
10356,12,17.01.2021,Веб-дизайн,0
10357,12,17.01.2021,Python Базовый,1
10361,12,17.01.2021,Python Базовый,0
10369,,28.02.2021,Python Базовый,1
10399,12,17.01.2021,Python Базовый,0
10419,12,10.01.2021,Python Базовый,1
10425,13,10.01.2021,Python Базовый,0
10457,15,17.01.2021,Веб-дизайн,0
10461,,21.02.2021,Веб-дизайн,1
10468,15,17.01.2021,Веб-дизайн,0
10472,12,17.01.2021,Python Базовый,0
10476,12,17.01.2021,Python Базовый,0
10490,15,17.01.2021,Python Базовый,0
10492,11,17.01.2021,Python Базовый,0
10493,13,17.01.2021,Python Базовый,0
10502,15,31.01.2021,Python Базовый,0
10504,15,17.01.2021,Python Базовый,0
10507,12,24.01.2021,Python Базовый,0
10509,12,24.01.2021,Python Базовый,0
10528,14,17.01.2021,Python Базовый,0
10535,13,17.01.2021,Веб-дизайн,0
10542,16,10.01.2021,Веб-дизайн,0
10546,,17.01.2021,Веб-дизайн,0
10559,11,17.01.2021,Python Базовый,1
10563,12,17.01.2021,Python Базовый,0
10564,14,17.01.2021,Python Базовый,0
10567,12,17.01.2021,Python Базовый,1
10576,8,17.01.2021,Веб-дизайн,0
10581,14,17.01.2021,Unity,0
10583,,17.01.2021,Python Базовый,0
10595,11,17.01.2021,Python Базовый,0
10599,13,17.01.2021,Python Базовый,0
10607,16,10.01.2021,Веб-дизайн,0
10619,14,17.01.2021,Python Базовый,0
10623,12,17.01.2021,Python Базовый,0
10624,12,17.01.2021,Python Базовый,0
10625,17,17.01.2021,Unity,0
10631,,24.01.2021,Unity,1
10650,11,10.01.2021,Python Базовый,1
10661,12,17.01.2021,Веб-дизайн,1
10676,13,17.01.2021,Python Базовый,0
10677,12,17.01.2021,Python Базовый,0
10681,8,17.01.2021,Python Базовый,0
10683,10,17.01.2021,Python Базовый,0
10688,,17.01.2021,Python Базовый,0
10689,12,24.01.2021,Веб-дизайн,0
10698,12,17.01.2021,Python Базовый,0
10722,13,17.01.2021,Python Базовый,0
10726,15,17.01.2021,Unity,1
10731,12,17.01.2021,Python Базовый,0
10739,11,14.02.2021,Python Базовый,0
10740,16,10.01.2021,Unity,0
10754,12,28.03.2021,Веб-дизайн,0
10764,8,31.01.2021,Python Базовый,0
10769,11,10.01.2021,Python Базовый,0
10775,,17.01.2021,Python Базовый,0
10809,12,10.01.2021,Веб-дизайн,0
10814,16,17.01.2021,Python Базовый,0
10823,11,17.01.2021,Python Базовый,0
10843,17,24.01.2021,Веб-дизайн,0
10844,12,24.01.2021,Веб-дизайн,0
10849,15,17.01.2021,Веб-дизайн,1
10859,13,17.01.2021,Python Базовый,1
10874,12,24.01.2021,Python Базовый,0
10885,12,17.01.2021,Python Базовый,0
10899,12,10.01.2021,Python Базовый,0
10904,12,17.01.2021,Python Базовый,0
10908,13,17.01.2021,Python Базовый,0
10909,12,17.01.2021,Python Базовый,1
10914,12,17.01.2021,Python Базовый,0
10919,12,10.01.2021,Веб-дизайн,0
10927,13,10.01.2021,Веб-дизайн,0
10935,12,21.02.2021,Веб-дизайн,1
10936,15,17.01.2021,Python Базовый,0
10939,,17.01.2021,Python Базовый,0
10943,16,17.01.2021,Веб-дизайн,0
10949,14,17.01.2021,Python Базовый,0
10959,11,10.01.2021,Python Базовый,0
10961,14,10.01.2021,Python Базовый,0
10976,17,17.01.2021,Unity,0
10977,12,17.01.2021,Python Базовый,0
10989,12,10.01.2021,Python Базовый,0
10991,,17.01.2021,Веб-дизайн,1
10993,13,17.01.2021,Веб-дизайн,0
10996,11,17.01.2021,Веб-дизайн,0
11000,12,17.01.2021,Python Базовый,1
11002,15,24.01.2021,Unity,1
11003,14,17.01.2021,Python Базовый,1
11004,12,31.01.2021,Python Базовый,1
11005,10,24.01.2021,Python Базовый,1
11006,15,17.01.2021,Веб-дизайн,0
11019,12,24.01.2021,Веб-дизайн,1
11021,16,24.01.2021,Python Базовый,1
11023,14,17.01.2021,Python Базовый,0
11035,12,24.01.2021,Python Базовый,0
11048,11,24.01.2021,Python Базовый,0
11066,13,17.01.2021,Python Базовый,0
11072,12,24.01.2021,Python Базовый,0
11073,13,24.01.2021,Python Базовый,0
11087,12,24.01.2021,Python Базовый,0
11109,12,17.01.2021,Python Базовый,0
11117,12,24.01.2021,Python Базовый,0
11119,13,24.01.2021,Python Базовый,1
11124,14,24.01.2021,Python Базовый,0
11141,9,24.01.2021,Unity,0
11148,12,24.01.2021,Python Базовый,0
11155,13,24.01.2021,Python Базовый,0
11158,12,21.02.2021,Веб-дизайн,0
11165,14,24.01.2021,Python Базовый,1
11191,11,24.01.2021,Python Базовый,0
11198,12,17.01.2021,Python Базовый,0
11200,13,17.01.2021,Python Базовый,0
11210,14,24.01.2021,Веб-дизайн,0
11215,11,24.01.2021,Python Базовый,0
11217,12,17.01.2021,Python Базовый,0
11229,15,24.01.2021,Веб-дизайн,0
11245,12,24.01.2021,Python Базовый,0
11250,13,24.01.2021,Python Базовый,0
11266,16,31.01.2021,Python Базовый,0
11270,16,24.01.2021,Python Базовый,0
11276,14,24.01.2021,Python Базовый,0
11291,14,24.01.2021,Python Базовый,1
11293,15,31.01.2021,Unity,1
11306,12,17.01.2021,Python Базовый,1
11309,12,24.01.2021,Python Базовый,0
11316,14,24.01.2021,Python Базовый,1
11319,12,24.01.2021,Веб-дизайн,0
11322,12,21.02.2021,Python Базовый,0
11324,14,31.01.2021,Python Базовый,1
11337,11,24.01.2021,Python Базовый,0
11342,15,24.01.2021,Python Базовый,1
11344,14,31.01.2021,Python Базовый,1
11348,14,24.01.2021,Python Базовый,1
11350,13,24.01.2021,Python Базовый,1
11356,12,24.01.2021,Python Базовый,1
11357,13,24.01.2021,Python Базовый,0
11360,12,24.01.2021,Python Базовый,0
